name,new_name,description,filter,scale,formula,comment
UNC_IIO_TXN_REQ_BY_CPU.PEER_READ.PART2,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.PEER_READ.PART3,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART0,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART1,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART2,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART3,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.PEER_WRITE.PART0,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.PEER_WRITE.PART1,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.PEER_WRITE.PART2,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.PEER_WRITE.PART3,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART0,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART1,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART2,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART3,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.PEER_READ.PART0,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.PEER_READ.PART1,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.PEER_READ.PART2,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.PEER_READ.PART3,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART0,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART1,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART2,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART3,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART0,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART1,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART2,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART3,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.ALL_PARTS,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.ALL_PARTS,,,,,,
UNC_I_CACHE_TOTAL_OCCUPANCY.MEM,,,,,,
UNC_I_COHERENT_OPS.RFO,,,,,,
UNC_I_COHERENT_OPS.PCITOM,,,,,,
UNC_I_FAF_INSERTS,,,,,,
UNC_I_FAF_OCCUPANCY,,,,,,
UNC_I_TRANSACTIONS.WR_PREF,,,,,,
UNC_UPI_CLOCKTICKS,,,,,,
UNC_UPI_DIRECT_ATTEMPTS.D2C,,,,,,
UNC_UPI_DIRECT_ATTEMPTS.D2K,,,,,,
UNC_UPI_L1_POWER_CYCLES,,,,,,
UNC_UPI_RxL0P_POWER_CYCLES,,,,,,
UNC_UPI_RxL_BYPASSED.SLOT0,,,,,,
