name,new_name,description,filter,scale,formula,comment
UNC_CHA_RxC_IRQ1_REJECT.PA_MATCH,,,,,,
UNC_CHA_TOR_INSERTS.ALL,,,,,,
UNC_CHA_TOR_OCCUPANCY.IA_HIT_CRD,,,,,,
UNC_CHA_TOR_OCCUPANCY.IA_HIT_RFO,,,,,,
UNC_CHA_TOR_INSERTS.IO_MISS_RFO,,,,,,
UNC_CHA_TOR_OCCUPANCY.IO_MISS_RFO,,,,,,
UNC_CHA_TOR_OCCUPANCY.IO_MISS_ITOM,,,,,,
UNC_CHA_BYPASS_CHA_IMC.TAKEN,,,,,,
UNC_CHA_BYPASS_CHA_IMC.INTERMEDIATE,,,,,,
UNC_CHA_BYPASS_CHA_IMC.NOT_TAKEN,,,,,,
UNC_CHA_CORE_SNP.EXT_ONE,,,,,,
UNC_CHA_CORE_SNP.CORE_ONE,,,,,,
UNC_CHA_CORE_SNP.EVICT_ONE,,,,,,
UNC_CHA_CORE_SNP.ANY_ONE,,,,,,
UNC_CHA_CORE_SNP.EXT_GTONE,,,,,,
UNC_CHA_CORE_SNP.CORE_GTONE,,,,,,
UNC_CHA_CORE_SNP.EVICT_GTONE,,,,,,
UNC_CHA_CORE_SNP.ANY_GTONE,,,,,,
UNC_CHA_DIRECT_GO.HA_TOR_DEALLOC,,,,,,
UNC_CHA_DIRECT_GO.HA_SUPPRESS_NO_D2C,,,,,,
UNC_CHA_DIRECT_GO.HA_SUPPRESS_DRD,,,,,,
UNC_CHA_DIRECT_GO_OPC.EXTCMP,,,,,,
UNC_CHA_DIRECT_GO_OPC.PULL,,,,,,
UNC_CHA_DIRECT_GO_OPC.GO,,,,,,
UNC_CHA_DIRECT_GO_OPC.GO_PULL,,,,,,
UNC_CHA_DIRECT_GO_OPC.FAST_GO,,,,,,
UNC_CHA_DIRECT_GO_OPC.FAST_GO_PULL,,,,,,
UNC_CHA_DIRECT_GO_OPC.NOP,,,,,,
UNC_CHA_DIRECT_GO_OPC.IDLE_DUE_SUPPRESS,,,,,,
UNC_CHA_IMC_READS_COUNT.PRIORITY,,,,,,
UNC_CHA_IMC_WRITES_COUNT.PARTIAL,,,,,,
UNC_CHA_IMC_WRITES_COUNT.FULL_PRIORITY,,,,,,
UNC_CHA_IMC_WRITES_COUNT.PARTIAL_PRIORITY,,,,,,
UNC_CHA_LLC_VICTIMS.M_STATE,,,,,,
UNC_CHA_LLC_VICTIMS.E_STATE,,,,,,
UNC_CHA_LLC_VICTIMS.S_STATE,,,,,,
UNC_CHA_LLC_VICTIMS.LOCAL_ONLY,,,,,,
UNC_CHA_LLC_VICTIMS.LOCAL_M,,,,,,
UNC_CHA_LLC_VICTIMS.LOCAL_E,,,,,,
UNC_CHA_LLC_VICTIMS.LOCAL_S,,,,,,
UNC_CHA_MISC.RSPI_WAS_FSE,,,,,,
UNC_CHA_MISC.WC_ALIASING,,,,,,
UNC_CHA_MISC.CV0_PREF_VIC,,,,,,
UNC_CHA_MISC.CV0_PREF_MISS,,,,,,
UNC_CHA_PIPE_REJECT.RMW_SETMATCH,,,,,,
UNC_CHA_PIPE_REJECT.GOTRACK_PAMATCH,,,,,,
UNC_CHA_PIPE_REJECT.GOTRACK_ALLOWSNP,,,,,,
UNC_CHA_PIPE_REJECT.GOTRACK_WAYMATCH,,,,,,
UNC_CHA_PIPE_REJECT.GOTRACK_ALLWAYRSV,,,,,,
UNC_CHA_PIPE_REJECT.PTL_INPIPE,,,,,,
UNC_CHA_PIPE_REJECT.IRQ_SETMATCH_VICP,,,,,,
UNC_CHA_PIPE_REJECT.FSF_VICP,,,,,,
UNC_CHA_PIPE_REJECT.ONE_FSF_VIC,,,,,,
UNC_CHA_PIPE_REJECT.TORID_MATCH_GO_P,,,,,,
UNC_CHA_PIPE_REJECT.IPQ_SETMATCH_VICP,,,,,,
UNC_CHA_PIPE_REJECT.WAY_MATCH,,,,,,
UNC_CHA_PIPE_REJECT.ONE_RSP_CON,,,,,,
