Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed,QPCTime
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.487378,8.287,8.353,0.226,0.605,7.835,27390293116
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.481478,15.835,16.693,0.121,0.938,13.765,27390234118
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.479882,9.483,8.332,2.727,11.465,23.662,27390218160
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.495676,8.298,8.332,0.179,1.131,7.868,27390376100
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.489674,8.197,8.333,0.134,1.509,13.901,27390316083
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.488479,8.597,8.357,2.921,12.188,23.422,27390304129
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.504001,8.325,8.357,0.163,0.849,7.900,27390459351
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.497979,8.305,8.354,0.188,1.751,13.951,27390399131
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.497895,9.416,8.338,2.805,11.517,22.345,27390398286
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.512367,8.366,8.338,0.139,1.244,7.873,27390543009
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.506123,8.143,8.338,0.132,1.000,14.145,27390480566
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.507000,9.105,8.344,2.452,11.238,21.584,27390489339
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.520754,8.387,8.344,0.160,1.644,7.829,27390626883
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.514410,8.287,8.355,0.124,1.481,14.213,27390563437
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.515497,8.497,8.338,2.752,11.492,21.424,27390574312
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.529155,8.400,8.338,0.179,0.594,7.767,27390710885
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.522614,8.204,8.325,0.134,1.532,14.334,27390645476
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.524575,9.078,8.342,2.448,11.474,20.688,27390665094
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.537379,8.225,8.342,0.136,0.389,7.884,27390793133
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.531283,8.669,8.348,0.105,1.871,14.013,27390732166
AMD Ryzen Master.exe,16864,0x0000000000000000,Other,-1,0,0,Composed: Copy with GPU GDI,0,11.537097,68.461,66.752,0.000,1.370,16.515,27390790310
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.545726,8.346,8.348,0.164,0.527,7.886,27390876597
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.539649,8.367,8.347,0.116,2.002,13.994,27390815832
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.533176,8.600,16.731,2.873,13.256,28.819,27390751094
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.554218,8.492,8.382,0.190,0.713,7.776,27390961518
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.547755,8.106,8.397,0.107,0.480,14.284,27390896893
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.542560,9.384,8.310,3.888,12.562,27.744,27390844937
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.562490,8.273,8.310,0.158,1.150,7.814,27391044243
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.552323,9.763,8.347,2.838,11.636,26.329,27390942564
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.570781,8.290,8.347,0.140,1.492,7.870,27391127146
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.556504,8.749,16.658,0.121,9.383,22.194,27390984382
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.564732,8.228,0.002,0.148,1.483,13.967,27391066664
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.561485,9.163,8.334,2.539,12.324,25.500,27391034190
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.579379,8.598,8.334,0.234,1.705,7.606,27391213130
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.572915,8.183,8.350,0.146,0.740,14.134,27391148492
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.569954,8.469,8.342,3.883,12.668,25.373,27391118877
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.587635,8.256,8.342,0.188,0.906,7.691,27391295694
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.581474,8.559,8.309,0.133,0.989,13.884,27391234078
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.579915,9.961,8.356,2.745,11.399,23.769,27391218485
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.595772,8.136,8.356,0.142,1.037,7.911,27391377058
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.589836,8.362,8.356,0.119,1.302,13.879,27391317697
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.588657,8.742,8.336,2.693,11.806,23.363,27391305907
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.604143,8.371,8.336,0.144,0.508,7.876,27391460772
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.597835,7.999,8.339,0.122,1.687,14.219,27391397688
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.598172,9.515,8.364,2.312,11.053,22.211,27391401061
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.612503,8.360,8.364,0.158,0.964,7.880,27391544370
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.606069,8.234,8.362,0.146,0.866,14.347,27391480028
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.606672,8.500,8.346,2.574,11.465,22.057,27391486060
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.620866,8.363,8.346,0.174,1.435,7.863,27391628004
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.614428,8.359,8.366,0.121,0.690,14.354,27391563617
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.615340,8.668,8.329,2.804,11.619,21.718,27391572737
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.629558,8.691,8.329,0.210,1.651,7.500,27391714918
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.622891,8.463,8.328,0.198,1.142,14.218,27391648249
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.624266,8.926,8.322,2.699,11.634,21.114,27391662001
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.637704,8.146,8.322,0.202,0.770,7.676,27391796379
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.631816,8.925,8.304,0.150,1.839,13.597,27391737502
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.633536,9.270,8.382,2.371,11.139,20.227,27391754701
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.645905,8.201,8.382,0.165,0.546,7.857,27391878391
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.639924,8.107,8.389,0.115,1.877,13.878,27391818577
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.642581,9.045,8.318,2.129,11.113,19.500,27391845150
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.654499,8.594,8.318,0.232,1.055,7.582,27391964333
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.648285,8.361,8.311,0.117,1.390,13.829,27391902189
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.651115,8.534,16.699,2.600,11.732,27.665,27391930493
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.670942,16.442,16.699,0.142,0.705,7.838,27392128758
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.657518,9.233,16.700,0.159,11.248,21.295,27391994517
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.664617,7.099,0.001,0.173,4.445,14.197,27392065509
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.660924,9.808,8.340,1.930,10.937,26.196,27392028578
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.679361,8.419,8.340,0.198,1.192,7.759,27392212950
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.673614,8.997,8.346,0.210,0.594,13.546,27392155475
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.669007,8.084,8.346,2.874,11.737,26.459,27392109413
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.687632,8.271,8.346,0.157,1.182,7.834,27392295662
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.681575,7.961,8.339,0.116,1.586,13.924,27392235087
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.678574,9.567,8.336,2.195,11.421,25.228,27392205084
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.696028,8.396,8.336,0.243,0.681,7.774,27392379617
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.689945,8.370,8.335,0.139,0.927,13.888,27392318787
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.687096,8.522,8.371,3.273,12.377,25.077,27392290301
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.704326,8.298,8.371,0.215,0.417,7.847,27392462600
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.698250,8.305,8.371,0.167,1.074,13.955,27392401835
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.696406,9.310,8.325,3.106,11.899,24.092,27392383397
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.712655,8.329,8.325,0.155,1.017,7.843,27392545892
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.706971,8.721,8.328,0.147,1.225,13.561,27392489048
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.705714,9.309,8.339,2.636,11.433,23.123,27392476483
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.720957,8.302,8.339,0.170,0.463,7.880,27392628912
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.714814,7.843,8.337,0.139,1.398,14.055,27392567483
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.715297,9.582,8.360,1.865,10.791,21.901,27392572307
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.729326,8.368,8.360,0.158,0.940,7.872,27392712597
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.723319,8.505,8.368,0.177,0.460,13.919,27392652528
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.723416,8.120,8.346,2.714,11.418,22.128,27392653502
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.737685,8.360,8.346,0.163,1.375,7.858,27392796194
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.731493,8.174,8.342,0.139,0.989,14.087,27392734267
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.732453,9.037,8.328,2.399,11.367,21.418,27392743872
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.746101,8.415,8.328,0.238,1.922,7.771,27392880344
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.739901,8.409,8.322,0.161,1.564,14.001,27392818353
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.740967,8.514,8.346,2.858,11.651,21.250,27392829009
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.754542,8.441,8.346,0.264,0.680,7.676,27392964754
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.748316,8.415,8.346,0.116,1.366,13.932,27392902502
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.750378,9.411,8.342,2.246,11.480,20.181,27392923119
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.762779,8.237,8.342,0.168,0.881,7.780,27393047128
