Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.572642,8.379,8.365,0.155,0.497,7.811
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.569160,8.019,8.351,2.243,10.388,19.644
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.580970,8.329,8.351,1.020,1.000,7.833
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.577123,7.963,8.329,2.444,10.858,20.010
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.589283,8.312,8.329,0.186,0.427,7.850
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.585857,8.734,8.352,2.129,10.396,19.628
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.597693,8.410,8.352,0.173,0.694,7.792
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.593821,7.964,8.329,2.470,10.611,19.993
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.605988,8.296,8.329,0.194,0.563,7.825
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.602501,8.680,8.360,1.945,10.158,19.672
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.614289,8.300,8.360,0.175,0.647,7.885
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.610204,7.702,8.349,2.472,10.748,20.319
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.622704,8.416,8.349,0.207,0.406,7.818
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.619155,8.951,8.342,1.826,10.222,19.710
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.631097,8.392,8.342,0.215,0.419,7.768
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.626644,7.490,8.347,2.763,11.127,20.567
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.639352,8.256,8.347,0.192,0.610,7.860
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.635587,8.942,8.344,2.197,10.289,19.969
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.647686,8.334,8.344,0.163,0.413,7.870
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.643629,8.042,8.322,2.273,10.646,20.249
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.656140,8.454,8.322,0.214,0.633,7.739
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.652362,8.733,8.356,1.934,10.164,19.872
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.664320,8.180,8.356,0.162,0.713,7.914
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.660068,7.705,8.351,2.492,10.630,20.518
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.672783,8.463,8.351,0.159,2.068,7.803
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.669216,9.149,8.370,1.519,9.643,19.739
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.681159,8.376,8.370,0.207,1.900,7.797
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.676494,7.278,8.343,2.394,10.624,20.804
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.689250,8.092,8.343,0.108,2.027,8.048
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.684696,8.202,8.319,2.444,10.617,20.921
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.697982,8.731,8.319,0.209,1.585,7.636
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.693057,8.360,8.355,2.306,10.461,20.916
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.706306,8.325,8.355,0.220,1.398,7.666
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.701851,8.795,8.327,1.697,9.962,20.448
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.714666,8.359,8.327,0.206,1.542,7.634
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.710112,8.261,8.366,1.711,10.072,20.553
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.722866,8.200,8.366,0.253,1.626,7.800
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.717948,7.836,8.330,2.250,10.647,21.048
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.731457,8.591,8.330,0.234,1.341,7.538
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.726891,8.943,8.342,1.692,9.930,20.447
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.739513,8.056,8.342,0.163,1.464,7.825
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.735092,8.201,8.349,1.746,9.895,20.595
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.748064,8.552,8.349,0.282,1.187,7.623
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.742953,7.861,8.346,2.048,10.311,21.080
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.756165,8.101,8.346,0.146,1.259,7.868
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.751330,8.377,8.343,1.933,10.168,21.046
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.764634,8.470,8.343,0.202,1.058,7.741
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.759149,7.819,8.358,2.389,10.552,21.585
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.772897,8.263,8.358,0.176,1.049,7.837
